region,annotation,x,y,cell_name,SampleSize,KCNQ3_GSS
Cortex,Glu Neu,7247.21566829527,13228.3890953213,Cell_10281,1002081,1.783203125
Cortex,Glu Neu,7283.45832405911,13254.9121023753,Cell_10282,1002081,1.845703125
SL/R CA1,SM,4538.90832905467,12011.6058951515,Cell_10286,1002081,0.0
CA1,Glu Neu,5204.72887869746,12303.7633795214,Cell_10287,1002081,1.73828125
CA1,Glu Neu,5282.25738993262,12333.8188273747,Cell_10288,1002081,0.0
Cortex,Glu Neu,7259.40834376513,13244.9824272618,Cell_10289,1002081,2.0859375
CAA,Glu Neu,4309.14436076264,9612.41550694244,Cell_1029,1002081,1.779296875
DG,Glu Neu,2022.21411665124,10837.5942933114,Cell_10292,1002081,0.0
DG,Glu Neu,2836.11458333434,11221.8676729945,Cell_10293,1002081,0.0
SL/R CA1,Astr,3308.96797153326,11431.0271176026,Cell_10294,1002081,0.0
SL/R CA1,Astr,3414.55844678518,11483.853735288,Cell_10295,1002081,0.0
CA1,Glu Neu,5315.6227001578,12354.6216174178,Cell_10296,1002081,0.0
Cortex,Glu Neu,6419.79041357833,12854.415235464,Cell_10298,1002081,2.177734375
Cortex,Glu Neu,6835.48865775902,13053.8644013812,Cell_10299,1002081,2.134765625
CAA,Glu Neu,4749.69185277569,9805.65863691349,Cell_1030,1002081,2.091796875
Cortex,Glu Neu,7313.30374550875,13264.1992342519,Cell_10300,1002081,2.14453125
SL/R CA1,Astr,2892.66165818217,11240.1002900901,Cell_10301,1002081,0.0
SL/R CA1,Astr,3687.62429241173,11620.0889875256,Cell_10302,1002081,0.0
SL/R CA1,Mic,3970.99593387585,11743.4482709782,Cell_10303,1002081,0.0
CA1,Unknown,5593.76621955831,12482.1840829611,Cell_10305,1002081,0.0
CA1,End,5626.44823646826,12509.2744091072,Cell_10306,1002081,0.0
Cortex,Glu Neu,6336.46646118751,12825.0023308476,Cell_10308,1002081,2.044921875
Cortex,Glu Neu,6358.77373412695,12836.333066658,Cell_10309,1002081,1.9541015625
Cortex,Glu Neu,7196.27283623514,13217.1273076438,Cell_10310,1002081,2.30859375
DG,Glu Neu,2410.56816419686,11022.302532854,Cell_10315,1002081,0.0
DG,Glu Neu,2743.6664993803,11173.9682807935,Cell_10316,1002081,0.0
SL/R CA1,Astr,4993.01508316803,12208.8672848572,Cell_10318,1002081,1.779296875
CA1,Glu Neu,5052.93159850176,12234.1459555158,Cell_10319,1002081,0.0
Cortex,Astr,6114.61676212976,10434.9423502136,Cell_1032,1002081,0.0
CA1,Glu Neu,5238.36061143543,12319.1875992113,Cell_10320,1002081,0.0
CA1,Glu Neu,5331.45123862635,12372.882432568,Cell_10321,1002081,1.8798828125
Cortex,Glu Neu,6397.29194227091,12850.6978723086,Cell_10322,1002081,1.7744140625
Cortex,Glu Neu,6729.29011333669,13009.5601221006,Cell_10323,1002081,2.017578125
DG,Glu Neu,1958.88741075326,10817.3525463485,Cell_10330,1002081,0.0
Ependymal,Epe,2230.25129910362,10942.9058820245,Cell_10331,1002081,0.0
SL/R CA1,Astr,2354.5884084411,11007.6305546123,Cell_10332,1002081,0.0
SL/R CA1,Astr,2523.69678795898,11073.0855466056,Cell_10333,1002081,0.0
SL/R CA1,Astr,2637.8848257604,11128.7550357631,Cell_10334,1002081,0.0
SL/R CA1,Astr,3113.84123193243,11350.3391042875,Cell_10335,1002081,0.0
SL/R CA1,Glu Neu,3582.45068796224,11566.3534040906,Cell_10336,1002081,0.0
SL/R CA1,Astr,4238.57351093787,11862.864518841,Cell_10337,1002081,0.0
FT,GABA Neu,5893.80014109584,12621.9862500646,Cell_10338,1002081,0.0
Cortex,Glu Neu,6440.08855665045,12872.5256023245,Cell_10339,1002081,1.779296875
Cortex,Glu Neu,6531.77812314445,12924.4777283266,Cell_10340,1002081,2.333984375
Cortex,Ery,7223.6170328702,13231.8682340185,Cell_10341,1002081,0.0
Cortex,Glu Neu,7349.05430632533,13289.3964047537,Cell_10342,1002081,1.9580078125
Ependymal,Epe,1658.32064419014,10688.3075199515,Cell_10346,1002081,0.0
DG,GABA Neu,2313.68494970573,10988.871368503,Cell_10347,1002081,0.0
Cortex,Unknown,6601.39236514533,12945.4027686048,Cell_10348,1002081,0.0
Cortex,Astr,6759.09792271392,13017.7298528263,Cell_10349,1002081,0.0
Cortex,Astr,6341.51655289086,10542.3038188724,Cell_1035,1002081,0.0
DG,Unknown,2496.65348790318,11067.283829438,Cell_10351,1002081,0.0
SL/R CA1,Astr,3637.82237454759,11589.547720737,Cell_10352,1002081,0.0
SL/R CA1,Astr,4089.04550711042,11807.4896502508,Cell_10353,1002081,0.0
CA1,Glu Neu,5994.046520061,12688.8642247975,Cell_10354,1002081,0.0
Cortex,Astr,6176.63893753436,12756.1026742236,Cell_10355,1002081,0.0
